mitoyennete;annee_construction/gte;annee_construction/lte;2s/p;u;ue;tv_ue_id
vide_sanitaire|sous_sol_non_chauffe;;;18;0.37;0.19;77
vide_sanitaire|sous_sol_non_chauffe;;;20;0.37;0.19;78
vide_sanitaire|sous_sol_non_chauffe;;;3;0.34;0.28;79
vide_sanitaire|sous_sol_non_chauffe;;;4;0.34;0.27;80
vide_sanitaire|sous_sol_non_chauffe;;;5;0.34;0.26;81
vide_sanitaire|sous_sol_non_chauffe;;;6;0.34;0.25;82
vide_sanitaire|sous_sol_non_chauffe;;;7;0.34;0.24;83
vide_sanitaire|sous_sol_non_chauffe;;;8;0.34;0.24;84
vide_sanitaire|sous_sol_non_chauffe;;;9;0.34;0.23;85
vide_sanitaire|sous_sol_non_chauffe;;;10;0.34;0.22;86
vide_sanitaire|sous_sol_non_chauffe;;;12;0.34;0.21;87
vide_sanitaire|sous_sol_non_chauffe;;;14;0.34;0.2;88
vide_sanitaire|sous_sol_non_chauffe;;;16;0.34;0.19;89
vide_sanitaire|sous_sol_non_chauffe;;;18;0.34;0.19;90
vide_sanitaire|sous_sol_non_chauffe;;;20;0.34;0.18;91
vide_sanitaire|sous_sol_non_chauffe;;;3;0.31;0.26;92
vide_sanitaire|sous_sol_non_chauffe;;;4;0.31;0.25;93
vide_sanitaire|sous_sol_non_chauffe;;;5;0.31;0.25;94
vide_sanitaire|sous_sol_non_chauffe;;;6;0.31;0.24;95
vide_sanitaire|sous_sol_non_chauffe;;;7;0.31;0.23;96
vide_sanitaire|sous_sol_non_chauffe;;;8;0.31;0.22;97
vide_sanitaire|sous_sol_non_chauffe;;;9;0.31;0.22;98
vide_sanitaire|sous_sol_non_chauffe;;;10;0.31;0.21;99
vide_sanitaire|sous_sol_non_chauffe;;;12;0.31;0.2;100
vide_sanitaire|sous_sol_non_chauffe;;;14;0.31;0.19;101
vide_sanitaire|sous_sol_non_chauffe;;;16;0.31;0.18;102
vide_sanitaire|sous_sol_non_chauffe;;;18;0.31;0.18;103
vide_sanitaire|sous_sol_non_chauffe;;;20;0.31;0.17;104
terre_plein;;2000;3;3.4;0.78;105
terre_plein;;2000;4;3.4;0.68;106
terre_plein;;2000;5;3.4;0.6;107
terre_plein;;2000;6;3.4;0.54;108
terre_plein;;2000;7;3.4;0.49;109
terre_plein;;2000;8;3.4;0.45;110
terre_plein;;2000;9;3.4;0.42;111
terre_plein;;2000;10;3.4;0.39;112
terre_plein;;2000;12;3.4;0.35;113
terre_plein;;2000;14;3.4;0.31;114
terre_plein;;2000;16;3.4;0.28;115
terre_plein;;2000;18;3.4;0.26;116
terre_plein;;2000;20;3.4;0.24;117
terre_plein;;2000;3;1.5;0.56;118
terre_plein;;2000;4;1.5;0.51;119
terre_plein;;2000;5;1.5;0.46;120
terre_plein;;2000;6;1.5;0.43;121
terre_plein;;2000;7;1.5;0.39;122
terre_plein;;2000;8;1.5;0.37;123
terre_plein;;2000;9;1.5;0.34;124
terre_plein;;2000;10;1.5;0.32;125
terre_plein;;2000;12;1.5;0.29;126
terre_plein;;2000;14;1.5;0.26;127
terre_plein;;2000;16;1.5;0.24;128
terre_plein;;2000;18;1.5;0.22;129
terre_plein;;2000;20;1.5;0.21;130
terre_plein;;2000;3;0.85;0.43;131
terre_plein;;2000;4;0.85;0.4;132
terre_plein;;2000;5;0.85;0.38;133
terre_plein;;2000;6;0.85;0.35;134
terre_plein;;2000;7;0.85;0.33;135
terre_plein;;2000;8;0.85;0.31;136
terre_plein;;2000;9;0.85;0.29;137
terre_plein;;2000;10;0.85;0.28;138
terre_plein;;2000;12;0.85;0.25;139
terre_plein;;2000;14;0.85;0.23;140
terre_plein;;2000;16;0.85;0.21;141
terre_plein;;2000;18;0.85;0.2;142
terre_plein;;2000;20;0.85;0.18;143
terre_plein;;2000;3;0.59;0.35;144
terre_plein;;2000;4;0.59;0.33;145
terre_plein;;2000;5;0.59;0.32;146
terre_plein;;2000;6;0.59;0.3;147
terre_plein;;2000;7;0.59;0.28;148
terre_plein;;2000;8;0.59;0.27;149
terre_plein;;2000;9;0.59;0.26;150
terre_plein;;2000;10;0.59;0.24;151
terre_plein;;2000;12;0.59;0.22;152
terre_plein;;2000;14;0.59;0.2;153
terre_plein;;2000;16;0.59;0.19;154
terre_plein;;2000;18;0.59;0.18;155
terre_plein;;2000;20;0.59;0.17;156
terre_plein;;2000;3;0.46;0.3;157
terre_plein;;2000;4;0.46;0.28;158
terre_plein;;2000;5;0.46;0.27;159
terre_plein;;2000;6;0.46;0.26;160
terre_plein;;2000;7;0.46;0.25;161
terre_plein;;2000;8;0.46;0.24;162
terre_plein;;2000;9;0.46;0.23;163
terre_plein;;2000;10;0.46;0.22;164
terre_plein;;2000;12;0.46;0.2;165
terre_plein;;2000;14;0.46;0.19;166
terre_plein;;2000;16;0.46;0.17;167
terre_plein;;2000;18;0.46;0.16;168
terre_plein;;2000;20;0.46;0.15;169
terre_plein;2001;;3;3.4;0.7;170
terre_plein;2001;;4;3.4;0.65;171
terre_plein;2001;;5;3.4;0.58;172
terre_plein;2001;;6;3.4;0.52;173
terre_plein;2001;;7;3.4;0.48;174
terre_plein;2001;;8;3.4;0.45;175
terre_plein;2001;;9;3.4;0.39;176
terre_plein;2001;;10;3.4;0.38;177
terre_plein;2001;;12;3.4;0.35;178
terre_plein;2001;;14;3.4;0.3;179
terre_plein;2001;;16;3.4;0.26;180
terre_plein;2001;;18;3.4;0.25;181
terre_plein;2001;;20;3.4;0.23;182
terre_plein;2001;;3;1.5;0.6;183
terre_plein;2001;;4;1.5;0.55;184
terre_plein;2001;;5;1.5;0.5;185
terre_plein;2001;;6;1.5;0.45;186
terre_plein;2001;;7;1.5;0.42;187
terre_plein;2001;;8;1.5;0.39;188
terre_plein;2001;;9;1.5;0.35;189
terre_plein;2001;;10;1.5;0.34;190
