type_generateur;energie_generateur;mode_combustion;annee_installation_generateur/lte;annee_installation_generateur/gte;pn/lte;pn/gt;pn_max;rpn;rpint;qp0;pveilleuse;tv_generateur_combustion_id
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;1977;;70;;;(47 + 6 * logPn) / 100;(48 + 6 * logPn) / 100;0.08 * (Pn ^ -0.27) * Pn * 1000;0;28
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;1977;;400;70;70;58 / 100;59 / 100;1.8 * 1000;0;29
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;1977;;;400;70;58 / 100;59 / 100;1.1 * 1000;0;30
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;1994;1978;70;;;(47 + 6 * logPn) / 100;(48 + 6 * logPn) / 100;0.07 * (Pn ^ -0.3) * Pn * 1000;0;31
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;1994;1978;400;70;70;58 / 100;59 / 100;1.4 * 1000;0;32
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;1994;1978;;400;70;58 / 100;59 / 100;0.8 * 1000;0;33
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2003;1995;70;;;(47 + 6 * logPn) / 100;(48 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;34
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2003;1995;400;70;70;58 / 100;59 / 100;1.1 * 1000;0;35
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2003;1995;;400;70;58 / 100;59 / 100;0.5 * 1000;0;36
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2012;2004;70;;;(57 + 6 * logPn) / 100;(58 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;37
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2012;2004;400;70;70;68 / 100;69 / 100;1.1 * 1000;0;38
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2012;2004;;400;70;68 / 100;69 / 100;0.5 * 1000;0;39
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2017;2013;70;;;(67 + 6 * logPn) / 100;(68 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;40
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2017;2013;400;70;70;78 / 100;79 / 100;1.1 * 1000;0;41
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2017;2013;;400;70;78 / 100;79 / 100;0.5 * 1000;0;42
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2019;2018;70;;;(80 + 2 * logPn) / 100;(77 + 3 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;43
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2019;2018;400;70;70;84 / 100;83 / 100;1.1 * 1000;0;44
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;2019;2018;;400;70;84 / 100;83 / 100;0.5 * 1000;0;45
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;;2020;20;;;(89 + 2 * logPn) / 100;(84 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;46
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;;2020;70;20;;(90 + 2 * logPn) / 100;(85 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;47
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;;2020;400;70;70;94 / 100;89 / 100;1.1 * 1000;0;48
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_buche|bois_plaquette|charbon;;;2020;;400;70;94 / 100;89 / 100;0.5 * 1000;0;49
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;1977;;70;;;(47 + 6 * logPn) / 100;(48 + 6 * logPn) / 100;0.08 * (Pn ^ -0.27) * Pn * 1000;0;50
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;1977;;400;70;70;58 / 100;59 / 100;1.8 * 1000;0;51
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;1977;;;400;70;58 / 100;59 / 100;1.1 * 1000;0;52
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;1994;1978;70;;;(47 + 6 * logPn) / 100;(48 + 6 * logPn) / 100;0.08 * (Pn ^ -0.3) * Pn * 1000;0;53
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;1994;1978;400;70;70;58 / 100;59 / 100;1.4 * 1000;0;54
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;1994;1978;;400;70;58 / 100;59 / 100;0.8 * 1000;0;55
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;2003;1995;70;;;(57 + 6 * logPn) / 100;(58 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;56
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;2003;1995;400;70;70;68 / 100;69 / 100;1.1 * 1000;0;57
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;2003;1995;;400;70;68 / 100;69 / 100;0.5 * 1000;0;58
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;2012;2004;70;;;(67 + 6 * logPn) / 100;(68 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;59
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;2012;2004;400;70;70;78 / 100;79 / 100;1.1 * 1000;0;60
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;2012;2004;;400;70;78 / 100;79 / 100;0.5 * 1000;0;61
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;2019;2013;70;;;(80 + 2 * logPn) / 100;(77 + 3 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;62
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;2019;2013;400;70;70;84 / 100;83 / 100;1.1 * 1000;0;63
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;2019;2013;;400;70;84 / 100;83 / 100;0.5 * 1000;0;64
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;;2020;20;;;(91 + 2 * logPn) / 100;(88 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;65
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;;2020;70;20;;(92 + 2 * logPn) / 100;(89 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;66
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;;2020;400;70;70;96 / 100;93 / 100;1.1 * 1000;0;67
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;bois_granule;;;2020;;400;70;96 / 100;93 / 100;0.5 * 1000;0;68
generateur_air_chaud;;;2005;;300;;;77 / 100;74 / 100;(1.75 - 0.55 * logPn) * Pn * 1000;0;69
generateur_air_chaud;;;2005;;;300;300;77 / 100;74 / 100;(1.75 - 0.55 * logPn) * Pn * 1000;0;70
generateur_air_chaud;;standard;;2006;300;;;84 / 100;77 / 100;(1.75 - 0.55 * logPn) * Pn * 1000;0;71
generateur_air_chaud;;standard;;2006;;300;300;84 / 100;77 / 100;(1.75 - 0.55 * logPn) * Pn * 1000;0;72
generateur_air_chaud;;condensation;;2006;300;;;90 / 100;83 / 100;(1.75 - 0.55 * logPn) * Pn * 1000;0;73
generateur_air_chaud;;condensation;;2006;;300;300;90 / 100;83 / 100;(1.75 - 0.55 * logPn) * Pn * 1000;0;74
radiateur_gaz;;;2005;;5;;;70 / 100;0;0;0;75
radiateur_gaz;;;2005;;;5;;73 / 100;0;0;0;76
radiateur_gaz;;;;2006;5;;;80 / 100;0;0;0;77
radiateur_gaz;;;;2006;;5;;82 / 100;0;0;0;78
poele_bouilleur;bois_buche|bois_plaquette;;2011;;70;;;(47 + 6 * logPn) / 100;(48 + 6 * logPn) / 100;0.07 * (Pn ^ -0.3) * Pn * 1000;0;31
poele_bouilleur;bois_buche|bois_plaquette;;2011;;400;70;70;58 / 100;59 / 100;1.4 * 1000;0;32
poele_bouilleur;bois_buche|bois_plaquette;;2011;;;400;70;58 / 100;59 / 100;0.8 * 1000;0;33
poele_bouilleur;bois_buche|bois_plaquette;;;2012;70;;;(57 + 6 * logPn) / 100;(58 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;37
poele_bouilleur;bois_buche|bois_plaquette;;;2012;400;70;70;68 / 100;69 / 100;1.1 * 1000;0;38
poele_bouilleur;bois_buche|bois_plaquette;;;2012;;400;70;68 / 100;69 / 100;0.5 * 1000;0;39
poele_bouilleur;bois_granule;;2011;;70;;;(47 + 6 * logPn) / 100;(48 + 6 * logPn) / 100;0.08 * (Pn ^ -0.3) * Pn * 1000;0;53
poele_bouilleur;bois_granule;;2011;;400;70;70;58 / 100;59 / 100;1.4 * 1000;0;54
poele_bouilleur;bois_granule;;2011;;;400;70;58 / 100;59 / 100;0.8 * 1000;0;55
poele_bouilleur;bois_granule;;;2012;70;;;(67 + 6 * logPn) / 100;(68 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;59
poele_bouilleur;bois_granule;;;2012;400;70;70;78 / 100;79 / 100;1.1 * 1000;0;60
poele_bouilleur;bois_granule;;;2012;;400;70;78 / 100;79 / 100;0.5 * 1000;0;61
