zone_climatique;type_generateur;type_emetteur;annee_installation/lte;annee_installation/gte;scop_cop;scop;tv_scop_id
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_geothermique;radiateur_monotube|radiateur_bitube|radiateur;2007;;cop;2.2;55
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_geothermique;radiateur_monotube|radiateur_bitube|radiateur;2014;2008;scop;2.4;56
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_geothermique;radiateur_monotube|radiateur_bitube|radiateur;2016;2015;scop;2.7;57
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_geothermique;radiateur_monotube|radiateur_bitube|radiateur;;2017;scop;3;58
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_geothermique;plafond_chauffant|plancher_chauffant;2007;;cop;2.4;59
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_geothermique;plafond_chauffant|plancher_chauffant;2014;2008;scop;2.6;60
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_geothermique;plafond_chauffant|plancher_chauffant;2016;2015;scop;3;61
H1a|H1b|H1c|H2a|H2b|H2c|H2d;pac_geothermique;plafond_chauffant|plancher_chauffant;;2017;scop;3.3;62
H3;pac_geothermique;radiateur_monotube|radiateur_bitube|radiateur;2007;;cop;2.5;63
H3;pac_geothermique;radiateur_monotube|radiateur_bitube|radiateur;2014;2008;scop;2.8;64
H3;pac_geothermique;radiateur_monotube|radiateur_bitube|radiateur;2016;2015;scop;3.1;65
H3;pac_geothermique;radiateur_monotube|radiateur_bitube|radiateur;;2017;scop;3.5;66
H3;pac_geothermique;plafond_chauffant|plancher_chauffant;2007;;cop;2.9;67
H3;pac_geothermique;plafond_chauffant|plancher_chauffant;2014;2008;scop;3.1;68
H3;pac_geothermique;plafond_chauffant|plancher_chauffant;2016;2015;scop;3.6;69
H3;pac_geothermique;plafond_chauffant|plancher_chauffant;;2017;scop;4;70
