type_generateur;energie_generateur;mode_combustion;volume_stockage/gt;volume_stockage/eq;annee_installation_generateur/lte;annee_installation_generateur/gte;pn/lte;pn/gt;pn_max;rpn;qp0;pveilleuse;tv_generateur_combustion_id
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;2019;2018;;400;70;84 / 100;0.5 * Pn * 1000;0;45
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;;2020;20;;;(89 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;46
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;;2020;70;400;;(90 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;47
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;;2020;400;70;70;94 / 100;1.1 * Pn * 1000;0;48
chaudiere|chauffe_eau;bois_buche|bois_plaquette|charbon;;;;;2020;;400;70;94 / 100;0.5 * Pn * 1000;0;49
chaudiere|chauffe_eau;bois_granule;;;;1977;;70;;;(47 + 6 * logPn) / 100;0.08 * (Pn)^-0.27 * Pn * 1000;0;50
chaudiere|chauffe_eau;bois_granule;;;;1977;;400;70;70;58 / 100;1.8 * Pn * 1000;0;51
chaudiere|chauffe_eau;bois_granule;;;;1977;;;400;70;58 / 100;1.1 * Pn * 1000;0;52
chaudiere|chauffe_eau;bois_granule;;;;1994;1978;70;;;(47 + 6 * logPn) / 100;0.08 * (Pn ^ -0.3) * Pn * 1000;0;53
chaudiere|chauffe_eau;bois_granule;;;;1994;1978;400;70;70;58 / 100;1.4 * Pn * 1000;0;54
chaudiere|chauffe_eau;bois_granule;;;;1994;1978;;400;70;58 / 100;0.8 * Pn * 1000;0;55
chaudiere|chauffe_eau;bois_granule;;;;2003;1995;70;;;(57 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;56
chaudiere|chauffe_eau;bois_granule;;;;2003;1995;400;70;70;68 / 100;1.1 * Pn * 1000;0;57
chaudiere|chauffe_eau;bois_granule;;;;2003;1995;;400;70;68 / 100;0.5 * Pn * 1000;0;58
chaudiere|chauffe_eau;bois_granule;;;;2012;2004;70;;;(67 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;59
chaudiere|chauffe_eau;bois_granule;;;;2012;2004;400;70;70;78 / 100;1.1 * Pn * 1000;0;60
chaudiere|chauffe_eau;bois_granule;;;;2012;2004;;400;70;78 / 100;0.5 * Pn * 1000;0;61
chaudiere|chauffe_eau;bois_granule;;;;2019;2013;70;;;(80 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;62
chaudiere|chauffe_eau;bois_granule;;;;2019;2013;400;70;70;84 / 100;1.1 * Pn * 1000;0;63
chaudiere|chauffe_eau;bois_granule;;;;2019;2013;;400;70;84 / 100;0.5 * Pn * 1000;0;64
chaudiere|chauffe_eau;bois_granule;;;;;2020;20;;;(91 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;65
chaudiere|chauffe_eau;bois_granule;;;;;2020;70;400;;(92 + 2 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;66
chaudiere|chauffe_eau;bois_granule;;;;;2020;400;70;70;96 / 100;1.1 * Pn * 1000;0;67
chaudiere|chauffe_eau;bois_granule;;;;;2020;;400;70;96 / 100;0.5 * Pn * 1000;0;68
chauffe_eau;gaz_naturel|gpl;standard;0;;1989;;;;;81 / 100;0;200;79
chauffe_eau;gaz_naturel|gpl;standard;0;;2000;1990;;;;84 / 100;0;150;80
chauffe_eau;gaz_naturel|gpl;standard;0;;;2001;;;;84 / 100;0;150;81
chauffe_eau;gaz_naturel|gpl;condensation;0;;2000;1996;;;;98 / 100;0;0;82
chauffe_eau;gaz_naturel|gpl;condensation;0;;;2001;;;;98 / 100;0;0;83
chauffe_eau;gaz_naturel|gpl;;;0;1980;;;;;70 / 100;0.04 * Pn * 1000;150;84
chauffe_eau;gaz_naturel|gpl;;;0;1989;1981;;;;75 / 100;0.02 * Pn * 1000;120;85
chauffe_eau;gaz_naturel|gpl;;;0;2000;1990;;;;81 / 100;0.012 * Pn * 1000;120;86
chauffe_eau;gaz_naturel|gpl;;;0;2015;2001;;;;82 / 100;0.01 * Pn * 1000;100;87
chauffe_eau;gaz_naturel|gpl;;;0;;2014;;;;82 / 100;0.01 * Pn * 1000;0;88
chauffe_eau;gaz_naturel|gpl;;;0;1980;;;;;70 / 100;0.04 * Pn * 1000;150;89
chauffe_eau;gaz_naturel|gpl;;;0;1989;1981;;;;75 / 100;0.02 * Pn * 1000;120;90
chauffe_eau;gaz_naturel|gpl;;;0;2000;1990;;;;82 / 100;0.012 * Pn * 1000;120;91
chauffe_eau;gaz_naturel|gpl;;;0;2015;2001;;;;84 / 100;0.01 * Pn * 1000;100;92
chauffe_eau;gaz_naturel|gpl;;;0;;2014;;;;84 / 100;0.006 * Pn * 1000;0;93
poele_bouilleur;bois_buche|bois_plaquette|charbon;;;;2011;;70;;;(47 + 6 * logPn) / 100;0.07 * (Pn ^ -0.3) * Pn * 1000;0;31
poele_bouilleur;bois_buche|bois_plaquette|charbon;;;;2011;;400;70;70;58 / 100;1.4 * Pn * 1000;0;32
poele_bouilleur;bois_buche|bois_plaquette|charbon;;;;2011;;;400;70;58 / 100;0.8 * Pn * 1000;0;33
poele_bouilleur;bois_buche|bois_plaquette|charbon;;;;;2012;70;;;57 + 6 * logPn / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;37
poele_bouilleur;bois_buche|bois_plaquette|charbon;;;;;2012;400;70;70;68 / 100;1.1 * Pn * 1000;0;38
poele_bouilleur;bois_buche|bois_plaquette|charbon;;;;;2012;;400;70;68 / 100;0.5 * Pn * 1000;0;39
poele_bouilleur;bois_granule;;;;2011;;70;;;(47 + 6 * logPn) / 100;0.08 * (Pn ^ -0.3) * Pn * 1000;0;53
poele_bouilleur;bois_granule;;;;2011;;400;70;70;58 / 100;1.4 * Pn * 1000;0;54
poele_bouilleur;bois_granule;;;;2011;;;400;70;58 / 100;0.8 * Pn * 1000;0;55
poele_bouilleur;bois_granule;;;;;2012;70;;;(67 + 6 * logPn) / 100;0.085 * (Pn ^ -0.4) * Pn * 1000;0;59
poele_bouilleur;bois_granule;;;;;2012;400;70;70;78 / 100;1.1 * Pn * 1000;0;60
poele_bouilleur;bois_granule;;;;;2012;;400;70;78 / 100;0.5 * Pn * 1000;0;61
